collocation;count;count_nested;length;lambda;z
the other;80;0;2;2.8924568751395947;17.464296721720324
far as;23;0;2;4.771328775838375;17.1854180596454
a few;61;0;2;4.893261043492448;17.17445662480079
that you;108;0;2;1.7881566447552961;17.156178064113366
too much;13;0;2;5.619416662503669;17.149367002278375
his hands;31;0;2;4.063334790516978;17.14330475304238
an hour;21;0;2;6.2783077148429705;16.981448242449122
as we;45;0;2;2.758044016707642;16.973954171896125
we have;54;0;2;2.4991514161218693;16.972907420539812
very well;20;0;2;4.410566481411203;16.84763068964963
or two;18;0;2;4.41356407357342;16.846626097567036
each other;13;0;2;6.12670371357022;16.81218126057075
to see;61;0;2;2.5383420790170357;16.792607622440745
so much;21;0;2;4.111698123897979;16.767693787581933
must have;33;0;2;3.299327653238778;16.733524089223327
it would;52;0;2;2.570519038467505;16.718707992045793
you know;39;0;2;3.070756677548945;16.71498020162654
an instant;20;0;2;6.2274745349047675;16.706496522555938
less than;13;0;2;5.755022746797915;16.69773086142967
a small;45;0;2;3.8148222548405935;16.692761572889598
his chair;29;0;2;4.431442814060167;16.611713224861937
of his;131;0;2;1.5744164229431892;16.51656969145354
our visitor;16;0;2;6.592516581113393;16.42608300749064
my dear;34;0;2;5.607204618944184;16.393949386410082
quite so;19;0;2;4.212660660740387;16.3919254766237
either side;10;0;2;6.4244326666791185;16.26853940047909
that there;53;0;2;2.489957520788988;16.243582801926994
you may;39;0;2;2.942261960197288;16.23730888109743
shall be;28;0;2;3.3957620296101254;16.217690192371393
an old;17;0;2;4.599642602892532;16.209021088505462
seemed to;52;0;2;4.818384129943253;16.20417272643751
and yet;46;0;2;3.9553964260389263;16.20218043346025
if i;48;0;2;2.5897035517796603;16.04750929900669
with his;68;0;2;2.0744275117885964;15.938096200730158
last night;11;0;2;5.429257441644537;15.884791607250548
boscombe pool;10;0;2;9.792922928856227;15.837724160582273
after all;18;0;2;4.194448232449146;15.82772205324873
i saw;43;0;2;3.4022481159666107;15.805255376975383
which he;61;0;2;2.1663876730714993;15.784297173834744
this morning;20;0;2;3.993916359004989;15.76894791351905
will be;31;0;2;3.070127947977208;15.741145727502417
they are;22;0;2;3.6417638835567905;15.740999142224506
why should;13;0;2;5.118610248137531;15.72362061695107
you see;40;0;2;2.7682515472369693;15.722389162960438
there were;30;0;2;3.077766626915481;15.677601416660218
can hardly;12;0;2;5.290315016670798;15.6738438520216
in front;35;0;2;4.77586543797809;15.636388350860509
two days;11;0;2;5.580359495823916;15.618348957267159
who had;35;0;2;2.8623786407749465;15.5732786012139
the house;63;0;2;2.942521702353301;15.56418364691086
would not;33;0;2;2.9164314702289356;15.555943817865163
at least;27;0;2;5.84877448164044;15.466993449313634
say that;29;0;2;3.7274913460138484;15.46119405480494
that we;55;0;2;2.2837443364138608;15.424162991864907
other side;12;0;2;4.945291035955546;15.388964855317239
what do;24;0;2;3.35694754373022;15.27416278359717
don't know;11;0;2;5.903858847877625;15.224415067085499
good enough;10;0;2;5.441238491589521;15.218003974591575
am afraid;14;0;2;6.934007650126203;15.193585655236895
shall soon;11;0;2;5.4223325331939725;15.134338907167283
i thought;39;0;2;3.3758886254346447;15.042264994619599
have no;35;0;2;2.7603054246844856;15.023893246576849
have done;22;0;2;3.9144510385620026;15.005506711462004
might have;26;0;2;3.325372781009928;14.997369710778576
to do;55;0;2;2.289164004191125;14.846001171665641
knew that;26;0;2;4.053685928977286;14.822411467568966
as far;20;0;2;4.237548871184149;14.821371073028011
our client;11;0;2;5.536566508721281;14.753044452701753
as he;60;0;2;2.0210226405932543;14.68766725555561
see that;37;0;2;2.694010063991437;14.626894097867401
my wife;21;0;2;4.081860588886419;14.586542609452207
the room;61;0;2;2.5210444163760757;14.58554093305389
